,waktu,username,tweet
63,2022-06-15 13:50:37,akazca,berisikkk gua suka ptm https://t.co/d7RuKQcY6o
64,2022-06-15 13:47:57,zahraaandy_,"Ini gua udah mulai semangat lagi buat ptm ye, jangan sampe daring lagi https://t.co/5rFQy0dI4f"
65,2022-06-15 13:47:51,iDAECHOPE,HOSEOK PTM https://t.co/V5eOuzxVqX
66,2022-06-15 13:42:10,revysloml,"@sheeeshjancepu @tmnRLgbolehtau @Askrlfess mungkin mksdnya ""biar engga usah PTM dan akan PJJ lagi"""
67,2022-06-15 13:30:57,suaramerdeka,Kemendikbudristek Dorong Sekolah Segera Buka PTM https://t.co/lHvQkCrhL7
68,2022-06-15 13:19:19,chrissieblossom,"@jjaehyyukyo BEUH NANGIS BANGET GAK SIH UDAH MAU LULUS MALAH DARING, KEK PTM AJA UDH SUSAH BLJR INI KLO DARING LAGI HANCUR DAHH"
69,2022-06-15 13:06:41,dinkespati,"Dlm rangka Pelaksanaan Gerakan Deteksi Dini Penyakit Tidak Menular (PTM), Dinkes Pati melakukan advokasi Gerakan Pe… https://t.co/nSoyelsack"
70,2022-06-15 13:04:53,mil8cb,mmpus tanggal 11 hri snin nya udh masuk ptm😂😂😂😂gw gkhbis pikir hari minggu nya seneng2 snin nya langsung mnderita k… https://t.co/rsERKoijbh
71,2022-06-15 13:03:58,sheeeshjancepu,"@tmnRLgbolehtau @Askrlfess Bentar, klo g pjj sm ptm terus ngapain?"
72,2022-06-15 12:50:54,neverstory25,@LEVIATHAN011029 ptm ljrklvnrbv
73,2022-06-15 12:41:31,PemkotaBogor,"Yuk, cegah dan kendalikan Penyakit Tidak Menular
(PTM) dengan deteksi dini untuk hidup sehat lebih
lama.… https://t.co/SPzexLOhbO"
74,2022-06-15 12:41:08,PemkotaBogor,"Tempat pelaksanaan cek kesehatan bisa dilakukan di
1. Posbindu PTM
2. Rumah Sakit dan Klinik
3. Perkantoran
4. Fasi… https://t.co/tMWeNqfMCR"
