waktu,username,tweet,tweet_cleaned,tweet_tokenization
6/9/2022 14:34,rutanboyolali,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/Wgbdw6YkXf",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 14:28,knyfrmnday,"@fleurlovre Mjb kak, izin nyaranin Brain Academy Offline yg worth it with the price and features🧚‍♀️💗 selain kelas… https://t.co/LfuMSygvWP", mjb kak  izin nyaranin brain academy offline yg worth it with the price and features woman fairy  growing heart  selain kelas  ,"['', 'mjb', 'kak', 'izin', 'nyaranin', 'brain', 'academy', 'offline', 'yg', 'worth', 'it', 'with', 'the', 'price', 'and', 'features', 'woman', 'fairy', 'growing', 'heart', 'selain', 'kelas', '']"
6/9/2022 14:20,bapaspati,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/ZI5ekIU8sH",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 14:11,rutanpemalang,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/smamegvsNs",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 14:05,bapaspati,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/8p94JxmPN8",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 14:04,lapasklaten,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/2iNXRQioZv",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 13:59,BapasNK,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/iw1uUmUmfV",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 13:52,badiklatjateng,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/B1SgwfQaJm",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 13:39,makkulion,@soomanbar dibilang susah sih gak munafik iya susah.. pinter2 manajemen waktu aja.. ya Alhamdulillah univku masih b… https://t.co/vL6MTI4ynz, dibilang susah sih gak munafik iya susah  pinter  manajemen waktu aja  ya alhamdulillah univku masih b  ,"['', 'dibilang', 'susah', 'sih', 'gak', 'munafik', 'iya', 'susah', 'pinter', 'manajemen', 'waktu', 'aja', 'ya', 'alhamdulillah', 'univku', 'masih', 'b', '']"
6/9/2022 13:38,ridhaauliya_,"@letsflyyhh @collegemenfess Aku angkatan 20 nder, belom pernah offline juga. Kurang tau masalah tugas bakalan lebih… https://t.co/hrzrRDED0v",  aku angkatan    nder  belom pernah offline juga  kurang tau masalah tugas bakalan lebih  ,"['', 'aku', 'angkatan', 'nder', 'belom', 'pernah', 'offline', 'juga', 'kurang', 'tau', 'masalah', 'tugas', 'bakalan', 'lebih', '']"
